Country,T stat,1%,5%,10%,PPP
Aruba,-1.849259,-3.460884,-2.874868,-2.573951,FALSE
Bulgaria,-1.879878,-3.453072,-2.871438,-2.572116,FALSE
Costa Rica,-1.011969,-3.459231,-2.874143,-2.573563,FALSE
French Territories: New Caledonia,-0.583158,-3.511262,-2.896779,-2.585626,FALSE
Guinea,-0.843202,-3.493129,-2.888932,-2.581453,FALSE
"Iran, Islamic Republic of",-2.134623,-3.468072,-2.878015,-2.575632,FALSE
Lebanon,-1.768512,-3.480818,-2.883579,-2.578601,FALSE
Maldives,-1.546592,-3.459231,-2.874143,-2.573563,FALSE
Morocco,-1.230824,-3.476805,-2.88183,-2.577668,FALSE
"North Macedonia, Republic of",-2.823138,-3.462737,-2.87568,-2.574385,TRUE
Portugal,-2.035636,-3.439384,-2.865417,-2.568891,FALSE
Suriname,-0.9539,-3.470934,-2.879267,-2.576301,FALSE
"Afghanistan, Islamic Republic of",-1.735641,-3.470179,-2.878937,-2.576124,FALSE
Albania,-1.748873,-3.476805,-2.88183,-2.577668,FALSE
Algeria,-0.898951,-3.469933,-2.878829,-2.576067,FALSE
Angola,-2.775212,-3.462737,-2.87568,-2.574385,TRUE
Anguilla,-1.430516,-4.200056,-3.175352,-2.728985,FALSE
Antigua and Barbuda,-3.023514,-3.461327,-2.875062,-2.574054,TRUE
Argentina,-0.306311,-3.752946,-2.998064,-2.638752,FALSE
"Armenia, Republic of",-1.333885,-3.493129,-2.888932,-2.581453,FALSE
Austria,-2.339028,-3.439384,-2.865417,-2.568891,FALSE
"Azerbaijan, Republic of",-1.364317,-3.469933,-2.878829,-2.576067,FALSE
"Bahamas, The",-2.950121,-3.493129,-2.888932,-2.581453,TRUE
"Bahrain, Kingdom of",-1.532837,-3.493129,-2.888932,-2.581453,FALSE
Bangladesh,-1.194833,-3.493129,-2.888932,-2.581453,FALSE
Barbados,-2.834869,-3.495021,-2.889753,-2.58189,TRUE
Belarus,-1.006639,-3.469933,-2.878829,-2.576067,FALSE
Belgium,-2.53767,-3.439384,-2.865417,-2.568891,FALSE
