,Month,Average USD/BEF=,Min USD/BEF=,Max USD/BEF=,Nb of working days,,,,,,,,,,
,Jul-19,35.843714,35.544894,36.001696,15,,,,,,,,,,
,Jun-19,35.721,35.404511,36.066071,20,,,,,,,,,,
,May-19,36.067626,35.873633,36.231274,22,,,,,,,,,,
,Apr-19,35.896037,35.632806,36.267104,20,,,,,,,,,,
,Mar-19,35.69186,35.426276,35.959975,21,,,,,,,,,,
,Feb-19,35.539022,35.166856,35.825844,20,,,,,,,,,,
,Jan-19,35.335815,34.971738,35.569967,22,,,,,,,,,,
,Dec-18,35.435478,35.21905,35.746478,19,,,,,,,,,,
,Nov-18,35.489966,35.117872,35.822662,22,,,,,,,,,,
,Oct-18,35.128643,34.757798,35.642251,23,,,,,,,,,,
,Sep-18,34.602072,34.25312,34.890071,20,,,,,,,,,,
,Aug-18,34.932857,34.449103,35.632806,23,,,,,,,,,,
,Jul-18,34.521216,34.218254,34.811788,22,,,,,,,,,,
,Jun-18,34.544496,34.082376,34.97477,21,,,,,,,,,,
,May-18,34.154822,33.596985,34.902146,22,,,,,,,,,,
,Apr-18,32.861885,32.563691,33.421624,20,,,,,,,,,,
,Mar-18,32.701211,32.477176,33.144277,21,,,,,,,,,,
,Feb-18,32.671122,32.290002,33.027591,20,,,,,,,,,,
,Jan-18,33.072701,32.383319,33.808163,22,,,,,,,,,,
,Dec-17,34.082702,33.636204,34.372785,19,,,,,,,,,,
,Nov-17,34.369969,33.75159,34.890071,22,,,,,,,,,,
,Oct-17,34.31578,34.024882,34.760793,22,,,,,,,,,,
,Sep-17,33.859147,33.449337,34.358147,21,,,,,,,,,,
,Aug-17,34.166638,33.482653,34.449103,23,,,,,,,,,,
,Jul-17,35.048892,34.393299,35.607644,21,,,,,,,,,,
,Jun-17,35.924906,35.345571,36.189019,22,,,,,,,,,,
,May-17,36.487648,35.880014,37.145396,22,,,,,,,,,,
,Apr-17,37.625142,36.907502,38.135659,18,,,,,,,,,,
,Mar-17,37.758809,37.046469,38.367795,23,,,,,,,,,,
,Feb-17,37.905933,37.324112,38.371445,20,,,,,,,,,,
,Jan-17,38.008516,37.508043,38.844391,22,,,,,,,,,,
,Dec-16,38.2679,37.483646,38.923099,21,,,,,,,,,,
,Nov-16,37.367912,36.35863,38.244122,22,,,,,,,,,,
,Oct-16,36.589733,35.902367,37.104397,21,,,,,,,,,,
,Sep-16,35.979419,35.711668,36.192266,22,,,,,,,,,,
,Aug-16,35.981793,35.576241,36.414425,23,,,,,,,,,,
,Jul-16,36.446437,36.156583,36.732744,21,,,,,,,,,,
,Jun-16,35.928562,35.420054,36.679305,22,,,,,,,,,,
,May-16,35.668701,34.86896,36.21501,22,,,,,,,,,,
,Apr-16,35.576346,35.286826,35.851315,21,,,,,,,,,,
,Mar-16,36.350907,35.432499,37.159083,21,,,,,,,,,,
,Feb-16,36.370452,35.551159,37.063488,21,,,,,,,,,,
,Jan-16,37.14741,36.9413,37.553435,20,,,,,,,,,,
,Dec-15,37.090569,36.706005,38.056509,22,,,,,,,,,,
,Nov-15,37.579735,36.566262,38.132054,21,,,,,,,,,,
,Oct-15,35.911408,35.265233,36.907502,22,,,,,,,,,,
,Sep-15,35.951208,35.326999,36.218262,22,,,,,,,,,,
,Aug-15,36.224351,35.059882,37.066893,21,,,,,,,,,,
,Jul-15,36.688814,36.066071,37.172779,23,,,,,,,,,,
,Jun-15,35.977964,35.373465,36.860289,22,,,,,,,,,,
,May-15,36.18764,35.326999,37.135138,20,,,,,,,,,,
,Apr-15,37.43111,35.969594,38.229625,20,,,,,,,,,,
,Mar-15,37.234597,35.931148,38.211518,22,,,,,,,,,,
,Feb-15,35.543744,35.240587,35.889591,20,,,,,,,,,,
,Jan-15,34.727191,33.496554,36.024201,21,,,,,,,,,,
,Dec-14,32.715874,32.176677,33.226176,21,,,,,,,,,,
,Nov-14,32.344209,32.171545,32.550553,20,,,,,,,,,,
,Oct-14,31.833073,31.459019,32.210077,23,,,,,,,,,,
,Sep-14,31.271401,30.674397,32.059048,22,,,,,,,,,,
,Aug-14,30.295256,30.055059,30.613873,21,,,,,,,,,,
,Jul-14,29.796164,29.470996,30.151656,23,,,,,,,,,,
,Jun-14,29.67856,29.53573,29.819559,21,,,,,,,,,,
,May-14,29.378198,28.911274,29.646432,21,,,,,,,,,,
,Apr-14,29.205659,29.080089,29.445182,20,,,,,,,,,,
,Mar-14,29.18485,28.934084,29.376566,21,,,,,,,,,,
,Feb-14,29.535963,29.2043,29.892479,20,,,,,,,,,,
,Jan-14,29.639711,29.47315,29.846034,22,,,,,,,,,,
,Dec-13,29.438406,29.202186,29.801936,20,,,,,,,,,,
,Nov-13,29.89779,29.637719,30.18324,21,,,,,,,,,,
,Oct-13,29.587131,29.221224,29.89691,23,,,,,,,,,,
,Sep-13,30.22529,29.782134,30.753907,21,,,,,,,,,,
,Aug-13,30.309584,30.122386,30.553586,22,,,,,,,,,,
,Jul-13,30.84425,30.367284,31.483571,23,,,,,,,,,,
,Jun-13,30.589163,30.090929,31.011608,20,,,,,,,,,,
,May-13,31.075508,30.581381,31.385591,22,,,,,,,,,,
,Apr-13,30.970372,30.725798,31.47129,21,,,,,,,,,,
,Mar-13,31.119088,30.817341,31.594533,20,,,,,,,,,,
,Feb-13,30.200912,29.566036,30.847977,20,,,,,,,,,,
,Jan-13,30.362189,29.771144,31.002075,22,,,,,,,,,,
,Dec-12,30.750433,30.326192,31.259124,19,,,,,,,,,,
,Nov-12,31.449295,31.045021,31.778714,22,,,,,,,,,,
,Oct-12,31.093266,30.746875,31.327095,23,,,,,,,,,,
,Sep-12,31.384114,30.805575,32.097311,20,,,,,,,,,,
,Aug-12,32.534903,31.987868,32.943977,23,,,,,,,,,,
,Jul-12,32.831621,32.03359,33.369096,22,,,,,,,,,,
,Jun-12,32.205838,31.7537,32.738111,21,,,,,,,,,,
,May-12,31.552461,30.718779,32.524309,22,,,,,,,,,,
,Apr-12,30.650351,30.287484,30.97351,19,,,,,,,,,,
,Mar-12,30.55961,30.203579,30.895229,22,,,,,,,,,,
,Feb-12,30.507596,29.983574,31.073717,21,,,,,,,,,,
,Jan-12,31.2636,30.616196,31.841424,22,,,,,,,,,,
,Dec-11,30.615626,29.857079,31.297928,21,,,,,,,,,,
,Nov-11,29.762859,29.21276,30.493537,22,,,,,,,,,,
,Oct-11,29.442244,28.48863,30.604582,21,,,,,,,,,,
,Sep-11,29.305187,28.239342,30.037156,22,,,,,,,,,,
,Aug-11,28.126207,27.845586,28.522874,23,,,,,,,,,,
,Jul-11,28.283654,27.820621,28.86576,21,,,,,,,,,,
,Jun-11,28.039426,27.532009,28.634228,22,,,,,,,,,,
,May-11,28.122665,27.106505,28.77311,22,,,,,,,,,,
,Apr-11,27.937754,27.146635,28.526908,19,,,,,,,,,,
,Mar-11,28.824165,28.386391,29.289116,23,,,,,,,,,,
,Feb-11,29.557156,29.159968,30.014807,20,,,,,,,,,,
,Jan-11,30.206945,29.410834,31.26397,21,,,,,,,,,,
,Dec-10,30.515582,30.025977,30.878674,23,,,,,,,,,,
,Nov-10,29.54514,28.320626,31.035467,22,,,,,,,,,,
,Oct-10,29.027683,28.607829,29.43444,21,,,,,,,,,,
,Sep-10,30.888353,29.557371,31.771206,22,,,,,,,,,,
,Aug-10,31.293987,30.438316,31.987868,22,,,,,,,,,,
,Jul-10,31.604588,30.866861,32.874175,22,,,,,,,,,,
,Jun-10,33.046175,32.555807,33.779853,22,,,,,,,,,,
,May-10,32.12075,30.472806,33.003273,21,,,,,,,,,,
,Apr-10,30.093794,29.629012,30.456701,20,,,,,,,,,,
,Mar-10,29.732918,29.306139,30.244339,23,,,,,,,,,,
,Feb-10,29.478999,28.847182,29.905775,20,,,,,,,,,,
,Jan-10,28.269373,27.700268,28.884362,20,,,,,,,,,,
,Dec-09,27.614278,26.679828,28.257145,22,,,,,,,,,,
,Nov-09,27.053918,26.745276,27.52074,21,,,,,,,,,,
,Oct-09,27.228892,26.857457,27.749811,22,,,,,,,,,,
,Sep-09,27.706548,27.288034,28.368425,22,,,,,,,,,,
,Aug-09,28.274246,27.994379,28.666785,21,,,,,,,,,,
,Jul-09,28.636692,28.271007,29.027776,23,,,,,,,,,,
,Jun-09,28.782648,28.332561,29.147327,22,,,,,,,,,,
,May-09,29.561282,28.613917,30.507374,20,,,,,,,,,,
,Apr-09,30.587265,29.890264,31.19386,20,,,,,,,,,,
,Mar-09,30.939201,29.507644,32.130546,22,,,,,,,,,,
,Feb-09,31.555594,31.011608,32.038678,20,,,,,,,,,,
,Jan-09,30.485822,29.092673,31.527862,21,,,,,,,,,,
,Dec-08,30.061353,27.599822,31.995479,21,,,,,,,,,,
,Nov-08,31.686438,31.186625,32.207505,20,,,,,,,,,,
,Oct-08,30.320317,28.648462,32.375522,23,,,,,,,,,,
,Sep-08,28.080251,27.38436,28.950696,22,,,,,,,,,,
,Aug-08,26.949592,25.90208,27.633854,21,,,,,,,,,,
,Jul-08,25.581703,25.228205,25.877157,23,,,,,,,,,,
,Jun-08,25.938979,25.557463,26.304056,21,,,,,,,,,,
,May-08,25.932172,25.594759,26.285202,21,,,,,,,,,,
,Apr-08,25.613589,25.30734,25.982159,22,,,,,,,,,,
,Mar-08,25.986101,25.512206,26.546394,19,,,,,,,,,,
,Feb-08,27.35636,26.597152,27.7957,21,,,,,,,,,,
,Jan-08,27.410136,27.082847,27.8552,22,,,,,,,,,,
,Dec-07,27.688819,27.365783,28.113388,19,,,,,,,,,,
,Nov-07,27.474603,27.121084,27.969147,22,,,,,,,,,,
,Oct-07,28.355041,27.922683,28.738263,23,,,,,,,,,,
,Sep-07,29.034399,28.448449,29.705376,20,,,,,,,,,,
,Aug-07,29.614695,29.193733,30.093174,23,,,,,,,,,,
,Jul-07,29.412739,29.162076,29.687886,22,,,,,,,,,,
,Jun-07,30.063532,29.810745,30.360427,21,,,,,,,,,,
,May-07,29.856916,29.629012,30.059538,22,,,,,,,,,,
,Apr-07,29.847331,29.555206,30.212627,19,,,,,,,,,,
,Mar-07,30.465233,30.212627,30.83383,22,,,,,,,,,,
,Feb-07,30.85596,30.491232,31.210754,20,,,,,,,,,,
,Jan-07,31.035629,30.399322,31.288218,22,,,,,,,,,,
,Dec-06,30.531692,30.260221,30.805575,19,,,,,,,,,,
,Nov-06,31.320559,30.56053,31.758699,22,,,,,,,,,,
,Oct-06,31.988848,31.67143,32.23324,22,,,,,,,,,,
,Sep-06,31.688586,31.388033,31.879169,21,,,,,,,,,,
,Aug-06,31.48817,31.22525,31.718745,23,,,,,,,,,,
,Jul-06,31.806176,31.530327,32.318459,21,,,,,,,,,,
,Jun-06,31.892033,31.13127,32.266757,22,,,,,,,,,,
,May-06,31.59193,31.237339,32.036134,22,,,,,,,,,,
