,Month,Average USD/GRD=,Min USD/GRD=,Max USD/GRD=,Nb of working days,,,,,,,,,,
,Jul-19,302.770846,300.246718,304.10531,15,,,,,,,,,,
,Jun-19,301.734284,299.060909,304.649084,20,,,,,,,,,,
,May-19,304.662219,303.023566,306.044548,22,,,,,,,,,,
,Apr-19,303.212816,300.989312,306.347208,20,,,,,,,,,,
,Mar-19,301.48814,299.244753,303.752897,21,,,,,,,,,,
,Feb-19,300.197117,297.053439,302.619893,20,,,,,,,,,,
,Jan-19,298.480635,295.405288,300.458513,22,,,,,,,,,,
,Dec-18,299.322482,297.494325,301.94949,19,,,,,,,,,,
,Nov-18,299.782744,296.63968,302.59302,22,,,,,,,,,,
,Oct-18,296.730662,293.598139,301.069093,23,,,,,,,,,,
,Sep-18,292.282729,289.335145,294.715447,20,,,,,,,,,,
,Aug-18,295.076858,290.990606,300.989312,23,,,,,,,,,,
,Jul-18,291.599736,289.040631,294.054194,22,,,,,,,,,,
,Jun-18,291.796387,287.892869,295.4309,21,,,,,,,,,,
,May-18,288.504824,283.792788,294.817442,22,,,,,,,,,,
,Apr-18,277.583419,275.064579,282.311516,20,,,,,,,,,,
,Mar-18,276.226207,274.33379,279.968778,21,,,,,,,,,,
,Feb-18,275.972044,272.752742,278.983134,20,,,,,,,,,,
,Jan-18,279.364172,273.540981,285.576601,22,,,,,,,,,,
,Dec-17,287.895623,284.124072,290.345944,19,,,,,,,,,,
,Nov-17,290.322161,285.098728,294.715447,22,,,,,,,,,,
,Oct-17,289.864425,287.40722,293.623438,22,,,,,,,,,,
,Sep-17,286.007259,282.545605,290.222298,21,,,,,,,,,,
,Aug-17,288.604629,282.827025,290.990606,23,,,,,,,,,,
,Jul-17,296.057007,290.519226,300.776768,21,,,,,,,,,,
,Jun-17,303.456671,298.563042,305.687629,22,,,,,,,,,,
,May-17,308.210138,303.07747,313.766114,22,,,,,,,,,,
,Apr-17,317.81852,311.756633,322.130838,18,,,,,,,,,,
,Mar-17,318.947597,312.93048,324.091687,23,,,,,,,,,,
,Feb-17,320.190347,315.275722,324.122515,20,,,,,,,,,,
,Jan-17,321.056862,316.829382,328.117477,22,,,,,,,,,,
,Dec-16,323.247877,316.623304,328.782323,21,,,,,,,,,,
,Nov-16,315.645701,307.120324,323.047023,22,,,,,,,,,,
,Oct-16,309.072449,303.266287,313.419794,21,,,,,,,,,,
,Sep-16,303.917141,301.655453,305.715055,22,,,,,,,,,,
,Aug-16,303.937195,300.511509,307.591623,23,,,,,,,,,,
,Jul-16,307.862027,305.413642,310.280459,21,,,,,,,,,,
,Jun-16,303.487554,299.192203,309.82906,22,,,,,,,,,,
,May-16,301.29251,294.537125,305.907173,22,,,,,,,,,,
,Apr-16,300.512394,298.06683,302.835052,21,,,,,,,,,,
,Mar-16,307.055091,299.297321,313.881724,21,,,,,,,,,,
,Feb-16,307.220186,300.299639,313.074237,21,,,,,,,,,,
,Jan-16,313.783125,312.042125,317.21281,20,,,,,,,,,,
