,Month,Average USD/IEP=,Min USD/IEP=,Max USD/IEP=,Nb of working days,,,,,,,,,,
,Jul-19,0.699784,0.69395,0.702868,15,,,,,,,,,,
,Jun-19,0.697388,0.691209,0.704125,20,,,,,,,,,,
,May-19,0.704156,0.700368,0.70735,22,,,,,,,,,,
,Apr-19,0.700806,0.695666,0.70805,20,,,,,,,,,,
,Mar-19,0.696819,0.691634,0.702054,21,,,,,,,,,,
,Feb-19,0.693835,0.68657,0.699435,20,,,,,,,,,,
,Jan-19,0.689868,0.68276,0.69444,22,,,,,,,,,,
,Dec-18,0.691814,0.687589,0.697886,19,,,,,,,,,,
,Nov-18,0.692878,0.685613,0.699373,22,,,,,,,,,,
,Oct-18,0.685824,0.678583,0.695851,23,,,,,,,,,,
,Sep-18,0.675543,0.668731,0.681166,20,,,,,,,,,,
,Aug-18,0.682001,0.672557,0.695666,23,,,,,,,,,,
,Jul-18,0.673965,0.66805,0.679638,22,,,,,,,,,,
,Jun-18,0.674419,0.665397,0.682819,21,,,,,,,,,,
,May-18,0.666811,0.655921,0.681402,22,,,,,,,,,,
,Apr-18,0.641569,0.635747,0.652497,20,,,,,,,,,,
,Mar-18,0.638432,0.634058,0.647082,21,,,,,,,,,,
,Feb-18,0.637845,0.630404,0.644804,20,,,,,,,,,,
,Jan-18,0.645685,0.632226,0.660044,22,,,,,,,,,,
,Dec-17,0.665403,0.656686,0.671067,19,,,,,,,,,,
,Nov-17,0.671012,0.658939,0.681166,22,,,,,,,,,,
,Oct-17,0.669954,0.664275,0.678642,22,,,,,,,,,,
,Sep-17,0.661039,0.653038,0.670781,21,,,,,,,,,,
,Aug-17,0.667042,0.653689,0.672557,23,,,,,,,,,,
,Jul-17,0.684267,0.671467,0.695175,21,,,,,,,,,,
,Jun-17,0.701369,0.690059,0.706526,22,,,,,,,,,,
,May-17,0.712356,0.700493,0.725197,22,,,,,,,,,,
,Apr-17,0.734563,0.720553,0.74453,18,,,,,,,,,,
,Mar-17,0.737173,0.723266,0.749062,23,,,,,,,,,,
,Feb-17,0.740045,0.728686,0.749133,20,,,,,,,,,,
,Jan-17,0.742048,0.732277,0.758367,22,,,,,,,,,,
,Dec-16,0.747112,0.731801,0.759904,21,,,,,,,,,,
,Nov-16,0.729541,0.709837,0.746648,22,,,,,,,,,,
,Oct-16,0.714349,0.700929,0.724397,21,,,,,,,,,,
,Sep-16,0.702433,0.697206,0.706589,22,,,,,,,,,,
,Aug-16,0.70248,0.694562,0.710926,23,,,,,,,,,,
,Jul-16,0.711551,0.705892,0.717141,21,,,,,,,,,,
,Jun-16,0.701441,0.691513,0.716097,22,,,,,,,,,,
,May-16,0.696367,0.680754,0.707033,22,,,,,,,,,,
,Apr-16,0.694564,0.688912,0.699932,21,,,,,,,,,,
,Mar-16,0.709686,0.691756,0.725464,21,,,,,,,,,,
,Feb-16,0.710068,0.694072,0.723598,21,,,,,,,,,,
,Jan-16,0.725236,0.721212,0.733163,20,,,,,,,,,,
,Dec-15,0.724127,0.716619,0.742985,22,,,,,,,,,,
,Nov-15,0.733677,0.713891,0.74446,21,,,,,,,,,,
,Oct-15,0.701106,0.68849,0.720553,22,,,,,,,,,,
,Sep-15,0.701883,0.689696,0.707096,22,,,,,,,,,,
,Aug-15,0.707215,0.684481,0.723664,21,,,,,,,,,,
,Jul-15,0.716283,0.704125,0.725732,23,,,,,,,,,,
,Jun-15,0.702405,0.690603,0.719631,22,,,,,,,,,,
,May-15,0.706499,0.689696,0.724997,20,,,,,,,,,,
,Apr-15,0.730775,0.702242,0.746365,20,,,,,,,,,,
,Mar-15,0.726939,0.701491,0.746011,22,,,,,,,,,,
,Feb-15,0.693928,0.688009,0.70068,20,,,,,,,,,,
,Jan-15,0.677986,0.65396,0.703308,21,,,,,,,,,,
,Dec-14,0.638719,0.628192,0.648681,21,,,,,,,,,,
,Nov-14,0.631463,0.628092,0.635491,20,,,,,,,,,,
,Oct-14,0.621484,0.614181,0.628844,23,,,,,,,,,,
,Sep-14,0.610518,0.598862,0.625895,22,,,,,,,,,,
,Aug-14,0.59146,0.586771,0.597681,21,,,,,,,,,,
,Jul-14,0.581717,0.575368,0.588657,23,,,,,,,,,,
,Jun-14,0.579421,0.576632,0.582173,21,,,,,,,,,,
,May-14,0.573556,0.564441,0.578793,21,,,,,,,,,,
,Apr-14,0.570188,0.567736,0.574864,20,,,,,,,,,,
,Mar-14,0.569782,0.564886,0.573525,21,,,,,,,,,,
,Feb-14,0.576637,0.570161,0.583597,20,,,,,,,,,,
,Jan-14,0.578662,0.57541,0.58269,22,,,,,,,,,,
,Dec-13,0.574732,0.57012,0.581829,20,,,,,,,,,,
,Nov-13,0.583701,0.578623,0.589273,21,,,,,,,,,,
,Oct-13,0.577636,0.570492,0.583683,23,,,,,,,,,,
,Sep-13,0.590094,0.581443,0.600415,21,,,,,,,,,,
,Aug-13,0.59174,0.588085,0.596504,22,,,,,,,,,,
,Jul-13,0.602179,0.592867,0.61466,23,,,,,,,,,,
,Jun-13,0.597198,0.587471,0.605446,20,,,,,,,,,,
,May-13,0.606693,0.597046,0.612747,22,,,,,,,,,,
,Apr-13,0.604641,0.599866,0.61442,21,,,,,,,,,,
,Mar-13,0.607544,0.601653,0.616826,20,,,,,,,,,,
,Feb-13,0.589618,0.577224,0.602251,20,,,,,,,,,,
,Jan-13,0.592767,0.581228,0.60526,22,,,,,,,,,,
,Dec-12,0.600347,0.592064,0.610278,19,,,,,,,,,,
,Nov-12,0.613991,0.606098,0.620422,22,,,,,,,,,,
,Oct-12,0.60704,0.600277,0.611605,23,,,,,,,,,,
,Sep-12,0.612718,0.601423,0.626642,20,,,,,,,,,,
,Aug-12,0.635185,0.624506,0.643172,23,,,,,,,,,,
,Jul-12,0.640978,0.625398,0.651472,22,,,,,,,,,,
,Jun-12,0.628761,0.619934,0.639153,21,,,,,,,,,,
,May-12,0.616005,0.599729,0.634979,22,,,,,,,,,,
,Apr-12,0.598393,0.591309,0.604702,19,,,,,,,,,,
,Mar-12,0.596621,0.589671,0.603174,22,,,,,,,,,,
,Feb-12,0.595606,0.585375,0.606658,21,,,,,,,,,,
,Jan-12,0.610366,0.597726,0.621647,22,,,,,,,,,,
,Dec-11,0.597715,0.582906,0.611036,21,,,,,,,,,,
,Nov-11,0.581066,0.570327,0.595331,22,,,,,,,,,,
,Oct-11,0.574807,0.556189,0.597499,21,,,,,,,,,,
,Sep-11,0.572131,0.551322,0.586421,22,,,,,,,,,,
,Aug-11,0.549114,0.543635,0.556858,23,,,,,,,,,,
,Jul-11,0.552187,0.543148,0.563552,21,,,,,,,,,,
,Jun-11,0.547419,0.537513,0.559032,22,,,,,,,,,,
,May-11,0.549044,0.529206,0.561743,22,,,,,,,,,,
,Apr-11,0.545434,0.529989,0.556937,19,,,,,,,,,,
,Mar-11,0.56274,0.554193,0.571817,23,,,,,,,,,,
,Feb-11,0.57705,0.569296,0.585985,20,,,,,,,,,,
,Jan-11,0.589736,0.574194,0.610373,21,,,,,,,,,,
,Dec-10,0.595762,0.586203,0.602851,23,,,,,,,,,,
,Nov-10,0.576816,0.552909,0.605912,22,,,,,,,,,,
,Oct-10,0.566713,0.558516,0.574655,21,,,,,,,,,,
,Sep-10,0.60304,0.577055,0.620276,22,,,,,,,,,,
,Aug-10,0.610959,0.594253,0.624506,22,,,,,,,,,,
,Jul-10,0.617023,0.60262,0.641809,22,,,,,,,,,,
,Jun-10,0.645167,0.635594,0.659491,22,,,,,,,,,,
,May-10,0.6271,0.594927,0.64433,21,,,,,,,,,,
,Apr-10,0.587527,0.578453,0.594612,20,,,,,,,,,,
,Mar-10,0.580482,0.57215,0.590466,23,,,,,,,,,,
,Feb-10,0.575524,0.563189,0.583856,20,,,,,,,,,,
,Jan-10,0.551909,0.540798,0.563915,20,,,,,,,,,,
,Dec-09,0.539119,0.520876,0.55167,22,,,,,,,,,,
,Nov-09,0.528179,0.522153,0.537293,21,,,,,,,,,,
,Oct-09,0.531595,0.524344,0.541765,22,,,,,,,,,,
,Sep-09,0.540921,0.53275,0.553842,22,,,,,,,,,,
,Aug-09,0.552004,0.54654,0.559667,21,,,,,,,,,,
,Jul-09,0.55908,0.551941,0.566715,23,,,,,,,,,,
,Jun-09,0.561929,0.553142,0.569049,22,,,,,,,,,,
,May-09,0.577131,0.558635,0.595602,20,,,,,,,,,,
,Apr-09,0.597161,0.583554,0.609004,20,,,,,,,,,,
,Mar-09,0.604032,0.576084,0.627291,22,,,,,,,,,,
,Feb-09,0.616066,0.605446,0.625498,20,,,,,,,,,,
,Jan-09,0.595181,0.567982,0.615525,21,,,,,,,,,,
,Dec-08,0.586894,0.538837,0.624654,21,,,,,,,,,,
,Nov-08,0.618621,0.608863,0.628794,20,,,,,,,,,,
,Oct-08,0.59195,0.55931,0.632074,23,,,,,,,,,,
,Sep-08,0.548216,0.53463,0.56521,22,,,,,,,,,,
,Aug-08,0.526142,0.505692,0.539501,21,,,,,,,,,,
,Jul-08,0.499437,0.492535,0.505205,23,,,,,,,,,,
,Jun-08,0.506412,0.498964,0.513539,21,,,,,,,,,,
,May-08,0.506279,0.499692,0.513171,21,,,,,,,,,,
,Apr-08,0.500059,0.49408,0.507255,22,,,,,,,,,,
,Mar-08,0.507332,0.49808,0.518271,19,,,,,,,,,,
,Feb-08,0.534084,0.519262,0.542661,21,,,,,,,,,,
,Jan-08,0.535134,0.528744,0.543823,22,,,,,,,,,,
,Dec-07,0.540574,0.534268,0.548863,19,,,,,,,,,,
,Nov-07,0.536392,0.52949,0.546047,22,,,,,,,,,,
,Oct-07,0.553581,0.54514,0.561063,23,,,,,,,,,,
,Sep-07,0.566844,0.555405,0.579944,20,,,,,,,,,,
,Aug-07,0.578174,0.569955,0.587515,23,,,,,,,,,,
,Jul-07,0.574231,0.569337,0.579603,22,,,,,,,,,,
,Jun-07,0.586936,0.582001,0.592733,21,,,,,,,,,,
,May-07,0.582903,0.578453,0.586858,22,,,,,,,,,,
,Apr-07,0.582715,0.577012,0.589847,19,,,,,,,,,,
,Mar-07,0.594779,0.589847,0.601975,22,,,,,,,,,,
,Feb-07,0.602407,0.595286,0.609334,20,,,,,,,,,,
,Jan-07,0.605915,0.593492,0.610846,22,,,,,,,,,,
,Dec-06,0.596076,0.590776,0.601423,19,,,,,,,,,,
,Nov-06,0.611478,0.596639,0.620031,22,,,,,,,,,,
,Oct-06,0.624525,0.618328,0.629296,22,,,,,,,,,,
,Sep-06,0.618663,0.612795,0.622383,21,,,,,,,,,,
,Aug-06,0.61475,0.609617,0.619251,23,,,,,,,,,,
,Jul-06,0.620958,0.615573,0.63096,21,,,,,,,,,,
,Jun-06,0.622635,0.607782,0.62995,22,,,,,,,,,,
,May-06,0.616776,0.609853,0.625448,22,,,,,,,,,,
,Apr-06,0.641878,0.628192,0.652876,18,,,,,,,,,,
,Mar-06,0.655244,0.646339,0.661096,23,,,,,,,,,,
,Feb-06,0.659715,0.65131,0.664499,20,,,,,,,,,,
,Jan-06,0.650764,0.640608,0.66596,22,,,,,,,,,,
,Dec-05,0.664313,0.655211,0.673304,21,,,,,,,,,,
,Nov-05,0.668291,0.654069,0.675036,22,,,,,,,,,,
,Oct-05,0.65553,0.648521,0.659988,21,,,,,,,,,,
,Sep-05,0.642693,0.627991,0.65603,22,,,,,,,,,,
,Aug-05,0.640716,0.632226,0.646551,23,,,,,,,,,,
,Jul-05,0.654265,0.646233,0.662765,21,,,,,,,,,,
,Jun-05,0.647439,0.639049,0.653363,22,,,,,,,,,,
,May-05,0.620537,0.60797,0.638686,22,,,,,,,,,,
,Apr-05,0.608746,0.602251,0.614804,21,,,,,,,,,,
,Mar-05,0.596696,0.587033,0.609287,21,,,,,,,,,,
,Feb-05,0.605237,0.59394,0.617116,20,,,,,,,,,,
,Jan-05,0.600281,0.583078,0.608816,21,,,,,,,,,,
,Dec-04,0.587453,0.577689,0.597046,23,,,,,,,,,,
,Nov-04,0.606313,0.592376,0.619885,22,,,,,,,,,,
,Oct-04,0.630708,0.615669,0.642018,21,,,,,,,,,,
,Sep-04,0.644637,0.634672,0.654177,22,,,,,,,,,,
,Aug-04,0.64688,0.637239,0.657234,22,,,,,,,,,,
,Jul-04,0.642144,0.634518,0.654884,22,,,,,,,,,,
,Jun-04,0.648605,0.639308,0.656249,22,,,,,,,,,,
,May-04,0.655982,0.643119,0.667314,21,,,,,,,,,,
,Apr-04,0.657191,0.639256,0.66596,20,,,,,,,,,,
,Mar-04,0.642336,0.630859,0.649913,23,,,,,,,,,,
,Feb-04,0.62282,0.612509,0.634212,20,,,,,,,,,,
,Jan-04,0.624452,0.613941,0.636518,21,,,,,,,,,,
,Dec-03,0.641167,0.623566,0.657673,21,,,,,,,,,,
,Nov-03,0.673184,0.656632,0.689394,20,,,,,,,,,,
,Oct-03,0.673619,0.668107,0.680166,23,,,,,,,,,,
,Sep-03,0.702226,0.675905,0.730376,22,,,,,,,,,,
,Aug-03,0.707262,0.691331,0.728147,21,,,,,,,,,,
,Jul-03,0.692615,0.682287,0.707096,23,,,,,,,,,,
,Jun-03,0.675357,0.664387,0.690059,21,,,,,,,,,,
,May-03,0.680183,0.661763,0.702054,21,,,,,,,,,,
,Apr-03,0.726144,0.707541,0.744249,20,,,,,,,,,,
,Mar-03,0.728961,0.710798,0.745094,21,,,,,,,,,,
,Feb-03,0.731074,0.721874,0.735629,20,,,,,,,,,,
,Jan-03,0.741609,0.72453,0.758952,22,,,,,,,,,,
,Dec-02,0.773635,0.750991,0.797856,20,,,,,,,,,,
,Nov-02,0.786532,0.777764,0.795118,21,,,,,,,,,,
,Oct-02,0.802748,0.796324,0.809003,23,,,,,,,,,,
,Sep-02,0.803038,0.789538,0.816213,21,,,,,,,,,,
,Aug-02,0.805505,0.797695,0.813011,22,,,,,,,,,,
,Jul-02,0.793882,0.776231,0.809834,23,,,,,,,,,,
,Jun-02,0.824603,0.789538,0.845661,20,,,,,,,,,,
,May-02,0.85895,0.838994,0.872164,22,,,,,,,,,,
,Apr-02,0.889127,0.871392,0.898738,21,,,,,,,,,,
,Mar-02,0.899284,0.889601,0.910584,20,,,,,,,,,,
,Feb-02,0.905231,0.89557,0.912377,20,,,,,,,,,,
,Jan-02,0.89182,0.871392,0.918121,22,,,,,,,,,,
,Dec-01,0.883185,0.870333,0.895163,19,,,,,,,,,,
,Nov-01,0.886494,0.86574,0.897202,22,,,,,,,,,,
,Oct-01,0.86951,0.854747,0.886198,23,,,,,,,,,,
,Sep-01,0.864588,0.849675,0.8894,20,,,,,,,,,,
,Aug-01,0.874844,0.854562,0.898738,23,,,,,,,,,,
,Jul-01,0.915275,0.895672,0.939365,22,,,,,,,,,,
,Jun-01,0.923147,0.909217,0.930377,21,,,,,,,,,,
,May-01,0.901154,0.881043,0.928731,22,,,,,,,,,,
,Apr-01,0.883272,0.871971,0.897816,19,,,,,,,,,,
,Mar-01,0.866265,0.841145,0.891716,22,,,,,,,,,,
,Feb-01,0.854598,0.835612,0.86966,20,,,,,,,,,,
,Jan-01,0.839497,0.825106,0.861102,22,,,,,,,,,,
,Dec-00,0.878076,0.845933,0.901619,19,,,,,,,,,,
,Nov-00,0.919738,0.902135,0.936907,22,,,,,,,,,,
,Oct-00,0.921316,0.894756,0.954392,22,,,,,,,,,,
,Sep-00,0.903292,0.875071,0.929169,21,,,,,,,,,,
,Aug-00,0.87122,0.850134,0.884307,23,,,,,,,,,,
,Jul-00,0.838242,0.825366,0.854562,21,,,,,,,,,,
,Jun-00,0.829819,0.814609,0.844392,22,,,,,,,,,,
,May-00,0.869478,0.841504,0.887396,22,,,,,,,,,,
,Apr-00,0.831951,0.814188,0.866884,18,,,,,,,,,,
,Mar-00,0.816711,0.809834,0.825279,23,,,,,,,,,,
,Feb-00,0.800925,0.782245,0.81706,21,,,,,,,,,,
,Jan-00,0.777115,0.758148,0.804375,21,,,,,,,,,,
,Dec-99,0.779227,0.769181,0.786384,23,,,,,,,,,,
,Nov-99,0.761926,0.744953,0.781546,22,,,,,,,,,,
,Oct-99,0.735675,0.724597,0.753433,21,,,,,,,,,,
,Sep-99,0.750086,0.737281,0.76152,22,,,,,,,,,,
,Aug-99,0.742813,0.729834,0.754878,22,,,,,,,,,,
,Jul-99,0.761009,0.736179,0.777918,22,,,,,,,,,,
,Jun-99,0.758934,0.751923,0.766113,22,,,,,,,,,,
,May-99,0.741078,0.729293,0.753217,21,,,,,,,,,,
,Apr-99,0.735786,0.72473,0.744319,22,,,,,,,,,,
,Mar-99,0.723706,0.715187,0.736592,23,,,,,,,,,,
,Feb-99,0.702791,0.694378,0.717991,20,,,,,,,,,,
,Jan-99,0.678365,0.667993,0.691817,21,,,,,,,,,,
,Dec-98,0.675239,0.667809,0.681205,23,,,,,,,,,,
,Nov-98,0.679785,0.667799,0.690097,21,,,,,,,,,,
,Oct-98,0.662955,0.652418,0.671852,22,,,,,,,,,,
,Sep-98,0.682001,0.670852,0.700996,22,,,,,,,,,,
