,Month,Average USD/ITL=,Min USD/ITL=,Max USD/ITL=,Nb of working days,,,,,,,,,,
,Jul-19,1720.458127,1706.115076,1728.041053,15,,,,,,,,,,
,Jun-19,1714.567991,1699.376865,1731.130979,20,,,,,,,,,,
,May-19,1731.205621,1721.894175,1739.060535,22,,,,,,,,,,
,Apr-19,1722.969566,1710.334776,1740.780365,20,,,,,,,,,,
,Mar-19,1713.169306,1700.421533,1726.03851,21,,,,,,,,,,
,Feb-19,1705.833224,1687.969663,1719.600355,20,,,,,,,,,,
,Jan-19,1696.079526,1678.604248,1707.318579,22,,,,,,,,,,
,Dec-18,1700.86322,1690.474943,1715.790873,19,,,,,,,,,,
,Nov-18,1703.478601,1685.618525,1719.447651,22,,,,,,,,,,
,Oct-18,1686.135522,1668.335344,1710.788125,23,,,,,,,,,,
,Sep-18,1660.860689,1644.111404,1674.684311,20,,,,,,,,,,
,Aug-18,1676.737981,1653.51836,1710.334776,23,,,,,,,,,,
,Jul-18,1656.979666,1642.437866,1670.926821,22,,,,,,,,,,
,Jun-18,1658.097109,1635.91585,1678.749783,21,,,,,,,,,,
,May-18,1639.393209,1612.61764,1675.263886,22,,,,,,,,,,
,Apr-18,1577.333666,1563.020665,1604.200497,20,,,,,,,,,,
,Mar-18,1569.621474,1558.868046,1590.888177,21,,,,,,,,,,
,Feb-18,1568.177227,1549.883935,1585.287375,20,,,,,,,,,,
,Jan-18,1587.452576,1554.363009,1622.753939,22,,,,,,,,,,
,Dec-17,1635.931496,1614.500125,1649.855147,19,,,,,,,,,,
,Nov-17,1649.720003,1620.038487,1674.684311,22,,,,,,,,,,
,Oct-17,1647.118972,1633.156208,1668.479104,22,,,,,,,,,,
,Sep-17,1625.201104,1605.53068,1649.152542,21,,,,,,,,,,
,Aug-17,1639.96034,1607.129814,1653.51836,23,,,,,,,,,,
,Jul-17,1682.30756,1650.839799,1709.127019,21,,,,,,,,,,
,Jun-17,1724.355241,1696.547796,1737.032385,22,,,,,,,,,,
,May-17,1751.366231,1722.20048,1782.937385,22,,,,,,,,,,
,Apr-17,1805.964681,1771.518756,1830.468898,18,,,,,,,,,,
,Mar-17,1812.380527,1778.188998,1841.611185,23,,,,,,,,,,
,Feb-17,1819.442299,1791.515544,1841.78636,20,,,,,,,,,,
,Jan-17,1824.366164,1800.344026,1864.487241,22,,,,,,,,,,
,Dec-16,1836.816336,1799.173016,1868.265149,21,,,,,,,,,,
,Nov-16,1793.617904,1745.173502,1835.675009,22,,,,,,,,,,
,Oct-16,1756.266208,1723.273407,1780.969463,21,,,,,,,,,,
,Sep-16,1726.971806,1714.120042,1737.188229,22,,,,,,,,,,
,Aug-16,1727.08576,1707.61972,1747.851598,23,,,,,,,,,,
,Jul-16,1749.388134,1735.475486,1763.130577,21,,,,,,,,,,
,Jun-16,1724.530731,1700.122926,1760.565557,22,,,,,,,,,,
,May-16,1712.057663,1673.671017,1738.279917,22,,,,,,,,,,
,Apr-16,1707.624747,1693.728132,1720.822965,21,,,,,,,,,,
,Mar-16,1744.802822,1700.720246,1783.594326,21,,,,,,,,,,
,Feb-16,1745.74095,1706.415793,1779.00588,21,,,,,,,,,,
,Jan-16,1783.034045,1773.141026,1802.522808,20,,,,,,,,,,
,Dec-15,1780.305739,1761.847134,1826.669811,22,,,,,,,,,,
,Nov-15,1803.785161,1755.139594,1830.295869,21,,,,,,,,,,
,Oct-15,1723.707357,1692.691669,1771.518756,22,,,,,,,,,,
,Sep-15,1725.617715,1695.656362,1738.435985,22,,,,,,,,,,
,Aug-15,1738.728274,1682.835043,1779.169347,21,,,,,,,,,,
,Jul-15,1761.021963,1731.130979,1784.251751,23,,,,,,,,,,
,Jun-15,1726.901955,1697.886706,1769.252558,22,,,,,,,,,,
,May-15,1736.966162,1695.656362,1782.444997,20,,,,,,,,,,
,Apr-15,1796.651337,1726.500223,1834.979151,20,,,,,,,,,,
,Mar-15,1787.218924,1724.65485,1834.110069,22,,,,,,,,,,
,Feb-15,1706.059872,1691.508692,1722.660142,20,,,,,,,,,,
,Jan-15,1666.866255,1607.797061,1729.121272,21,,,,,,,,,,
,Dec-14,1570.325299,1544.444444,1594.819208,21,,,,,,,,,,
,Nov-14,1552.485796,1544.198102,1562.390059,20,,,,,,,,,,
,Oct-14,1527.951849,1509.99766,1546.047589,23,,,,,,,,,,
,Sep-14,1500.992216,1472.336704,1538.798379,22,,,,,,,,,,
,Aug-14,1454.138319,1442.609149,1469.431585,21,,,,,,,,,,
,Jul-14,1430.182505,1414.57481,1447.245684,23,,,,,,,,,,
,Jun-14,1424.537625,1417.681945,1431.305441,21,,,,,,,,,,
,May-14,1410.120577,1387.708736,1422.995517,21,,,,,,,,,,
,Apr-14,1401.838887,1395.811707,1413.335766,20,,,,,,,,,,
,Mar-14,1400.840086,1388.803615,1410.042237,21,,,,,,,,,,
,Feb-14,1417.693131,1401.773691,1434.805484,20,,,,,,,,,,
,Jan-14,1422.672912,1414.678162,1432.576206,22,,,,,,,,,,
,Dec-13,1413.010495,1401.672217,1430.459515,20,,,,,,,,,,
,Nov-13,1435.060437,1422.577327,1448.761691,21,,,,,,,,,,
,Oct-13,1420.149118,1402.58602,1435.018158,23,,,,,,,,,,
,Sep-13,1450.780041,1429.509044,1476.153084,21,,,,,,,,,,
,Aug-13,1454.826072,1445.8408,1466.537908,22,,,,,,,,,,
,Jul-13,1480.489435,1457.595604,1511.176149,23,,,,,,,,,,
,Jun-13,1468.245539,1444.330897,1488.522448,20,,,,,,,,,,
,May-13,1491.589542,1467.872034,1506.473197,22,,,,,,,,,,
,Apr-13,1486.543151,1474.803869,1510.586675,21,,,,,,,,,,
,Mar-13,1493.681338,1479.197861,1516.502193,20,,,,,,,,,,
,Feb-13,1449.609937,1419.136617,1480.668349,20,,,,,,,,,,
,Jan-13,1457.351073,1428.98155,1488.064863,22,,,,,,,,,,
,Dec-12,1475.98635,1455.623215,1500.402945,19,,,,,,,,,,
,Nov-12,1509.530941,1490.126212,1525.342682,22,,,,,,,,,,
,Oct-12,1492.441913,1475.815549,1503.66545,23,,,,,,,,,,
,Sep-12,1506.402306,1478.633066,1540.634946,20,,,,,,,,,,
,Aug-12,1561.638874,1535.38181,1581.273989,23,,,,,,,,,,
,Jul-12,1575.881003,1537.576431,1601.679213,22,,,,,,,,,,
,Jun-12,1545.84416,1524.142003,1571.392631,21,,,,,,,,,,
,May-12,1514.482792,1474.466951,1561.130372,22,,,,,,,,,,
,Apr-12,1471.182487,1453.765298,1486.693796,19,,,,,,,,,,
,Mar-12,1466.82703,1449.737945,1482.936356,22,,,,,,,,,,
,Feb-12,1464.33043,1439.17794,1491.50362,21,,,,,,,,,,
,Jan-12,1500.617766,1469.543109,1528.352672,22,,,,,,,,,,
,Dec-11,1469.515765,1433.106358,1502.265498,21,,,,,,,,,,
,Nov-11,1428.583891,1402.179738,1463.655605,22,,,,,,,,,,
,Oct-11,1413.194745,1367.422316,1468.985661,21,,,,,,,,,,
,Sep-11,1406.616151,1355.456773,1441.749814,22,,,,,,,,,,
,Aug-11,1350.026438,1336.556913,1369.065969,23,,,,,,,,,,
,Jul-11,1357.583711,1335.358621,1385.52415,21,,,,,,,,,,
,Jun-11,1345.861025,1321.505597,1374.410846,22,,,,,,,,,,
,May-11,1349.85643,1301.081844,1381.077033,22,,,,,,,,,,
,Apr-11,1340.980909,1303.008075,1369.2596,19,,,,,,,,,,
,Mar-11,1383.527606,1362.514953,1405.844769,23,,,,,,,,,,
,Feb-11,1418.710375,1399.6458,1440.677083,20,,,,,,,,,,
,Jan-11,1449.899491,1411.687081,1500.635511,21,,,,,,,,,,
,Dec-10,1464.713741,1441.213249,1482.141764,23,,,,,,,,,,
,Nov-10,1418.133618,1359.358326,1489.667641,22,,,,,,,,,,
,Oct-10,1393.29626,1373.143749,1412.820139,21,,,,,,,,,,
,Sep-10,1482.606336,1418.720692,1524.982279,22,,,,,,,,,,
,Aug-10,1502.076333,1461.005055,1535.38181,22,,,,,,,,,,
,Jul-10,1516.984828,1481.574719,1577.92356,22,,,,,,,,,,
,Jun-10,1586.179353,1562.64224,1621.395076,22,,,,,,,,,,
,May-10,1541.760017,1462.660523,1584.120101,21,,,,,,,,,,
,Apr-10,1444.468405,1422.159383,1461.887505,20,,,,,,,,,,
,Mar-10,1427.146749,1406.661823,1451.694407,23,,,,,,,,,,
,Feb-10,1414.958898,1384.632437,1435.443695,20,,,,,,,,,,
,Jan-10,1356.898241,1329.581817,1386.417013,20,,,,,,,,,,
,Dec-09,1325.45438,1280.601852,1356.311292,22,,,,,,,,,,
,Nov-09,1298.557727,1283.743287,1320.964661,21,,,,,,,,,,
,Oct-09,1306.956287,1289.12783,1331.959827,22,,,,,,,,,,
,Sep-09,1329.883261,1309.795035,1361.652602,22,,,,,,,,,,
,Aug-09,1357.132114,1343.69882,1375.973565,21,,,,,,,,,,
,Jul-09,1374.529113,1356.976663,1393.300712,23,,,,,,,,,,
,Jun-09,1381.534841,1359.93117,1399.039017,22,,,,,,,,,,
,May-09,1418.908419,1373.435948,1464.319746,20,,,,,,,,,,
,Apr-09,1468.154428,1434.69917,1497.270337,20,,,,,,,,,,
,Mar-09,1485.04698,1416.333845,1542.230187,22,,,,,,,,,,
,Feb-09,1514.63314,1488.522448,1537.820666,20,,,,,,,,,,
,Jan-09,1463.285302,1396.415693,1513.302071,21,,,,,,,,,,
,Dec-08,1442.911252,1324.760536,1535.747145,21,,,,,,,,,,
,Nov-08,1520.913542,1496.923077,1545.924152,20,,,,,,,,,,
,Oct-08,1455.34126,1375.094098,1553.988764,23,,,,,,,,,,
,Sep-08,1347.820602,1314.418573,1389.600976,22,,,,,,,,,,
,Aug-08,1293.550212,1243.270836,1326.394027,21,,,,,,,,,,
,Jul-08,1227.893087,1210.925578,1242.07454,23,,,,,,,,,,
,Jun-08,1245.041933,1226.7296,1262.565206,21,,,,,,,,,,
