,Month,Average USD/MDL=,Min USD/MDL=,Max USD/MDL=,Nb of working days,,,,,,,,,,
,Jul-19,17.799651,17.550539,18.029765,15,,,,,,,,,,
,Jun-19,18.161127,18.052202,18.250949,20,,,,,,,,,,
,May-19,17.978311,17.817581,18.284295,22,,,,,,,,,,
,Apr-19,17.659589,17.365829,17.914614,20,,,,,,,,,,
,Mar-19,17.18773,16.989194,17.351732,21,,,,,,,,,,
,Feb-19,17.117816,17.029137,17.178022,20,,,,,,,,,,
,Jan-19,17.133914,16.993397,17.260626,22,,,,,,,,,,
,Dec-18,17.208356,17.056398,17.339356,19,,,,,,,,,,
,Nov-18,17.114817,16.967,17.207727,22,,,,,,,,,,
,Oct-18,17.012327,16.866814,17.178534,23,,,,,,,,,,
,Sep-18,16.795146,16.667,16.912072,20,,,,,,,,,,
,Aug-18,16.588296,16.477548,16.765504,23,,,,,,,,,,
,Jul-18,16.695844,16.57095,16.864736,22,,,,,,,,,,
,Jun-18,16.84193,16.734801,16.919673,21,,,,,,,,,,
,May-18,16.629844,16.336369,16.899168,22,,,,,,,,,,
,Apr-18,16.339161,16.336369,16.364767,20,,,,,,,,,,
,Mar-18,16.545849,16.439759,16.685986,21,,,,,,,,,,
,Feb-18,16.654742,16.570679,16.855792,20,,,,,,,,,,
,Jan-18,16.932228,16.660796,17.136413,22,,,,,,,,,,
,Dec-17,17.170133,17.047058,17.26809,19,,,,,,,,,,
,Nov-17,17.453712,17.119283,17.664478,22,,,,,,,,,,
,Oct-17,17.404571,17.238383,17.58081,22,,,,,,,,,,
,Sep-17,17.638836,17.571029,17.739665,21,,,,,,,,,,
,Aug-17,17.856193,17.740568,17.944818,23,,,,,,,,,,
,Jul-17,18.100179,18.058193,18.143111,21,,,,,,,,,,
,Jun-17,18.222343,18.038949,18.378014,22,,,,,,,,,,
,May-17,18.552572,18.241671,19.090551,22,,,,,,,,,,
,Apr-17,19.313657,19.172161,19.477262,18,,,,,,,,,,
,Mar-17,19.647475,19.355931,19.899898,23,,,,,,,,,,
,Feb-17,19.935144,19.826848,20.066931,20,,,,,,,,,,
,Jan-17,20.07853,19.915088,20.238323,22,,,,,,,,,,
