,Month,Average USD/PTE=,Min USD/PTE=,Max USD/PTE=,Nb of working days,,,,,,,,,,
,Jul-19,178.136771,176.651687,178.92191,15,,,,,,,,,,
,Jun-19,177.526905,175.954011,179.241842,20,,,,,,,,,,
,May-19,179.24957,178.28546,180.06287,22,,,,,,,,,,
,Apr-19,178.396806,177.088596,180.240942,20,,,,,,,,,,
,Mar-19,177.382084,176.062176,178.714566,21,,,,,,,,,,
,Feb-19,176.622504,174.772906,178.047957,20,,,,,,,,,,
,Jan-19,175.612603,173.803208,176.776298,22,,,,,,,,,,
,Dec-18,176.107909,175.032303,177.653522,19,,,,,,,,,,
,Nov-18,176.378706,174.529468,178.032146,22,,,,,,,,,,
,Oct-18,174.582998,172.739962,177.135536,23,,,,,,,,,,
,Sep-18,171.966034,170.231808,173.397336,20,,,,,,,,,,
,Aug-18,173.609974,171.205807,177.088596,23,,,,,,,,,,
,Jul-18,171.564192,170.058529,173.008284,22,,,,,,,,,,
,Jun-18,171.679892,169.383238,173.818276,21,,,,,,,,,,
,May-18,169.743284,166.970934,173.457346,22,,,,,,,,,,
,Apr-18,163.31762,161.835647,166.09942,20,,,,,,,,,,
,Mar-18,162.519097,161.405684,164.721058,21,,,,,,,,,,
,Feb-18,162.369559,160.475466,164.14115,20,,,,,,,,,,
,Jan-18,164.365335,160.939231,168.020449,22,,,,,,,,,,
,Dec-17,169.384858,167.165847,170.826517,19,,,,,,,,,,
,Nov-17,170.812524,167.73929,173.397336,22,,,,,,,,,,
,Oct-17,170.543212,169.097503,172.754847,22,,,,,,,,,,
,Sep-17,168.273829,166.237148,170.753769,21,,,,,,,,,,
,Aug-17,169.802005,166.402722,171.205807,23,,,,,,,,,,
,Jul-17,174.18665,170.928468,176.963545,21,,,,,,,,,,
,Jun-17,178.54028,175.661088,179.852875,22,,,,,,,,,,
,May-17,181.337006,178.317175,184.605893,22,,,,,,,,,,
,Apr-17,186.990147,183.423605,189.527321,18,,,,,,,,,,
,Mar-17,187.654445,184.114244,190.680997,23,,,,,,,,,,
,Feb-17,188.385623,185.494078,190.699134,20,,,,,,,,,,
,Jan-17,188.895442,186.408182,193.049591,22,,,,,,,,,,
,Dec-16,190.184537,186.286936,193.440756,21,,,,,,,,,,
,Nov-16,185.711757,180.695809,190.066363,22,,,,,,,,,,
,Oct-16,181.844351,178.428266,184.402134,21,,,,,,,,,,
,Sep-16,178.8112,177.480524,179.869011,22,,,,,,,,,,
,Aug-16,178.822999,176.807479,180.9731,23,,,,,,,,,,
,Jul-16,181.132193,179.691673,182.55509,21,,,,,,,,,,
,Jun-16,178.55845,176.031258,182.289507,22,,,,,,,,,,
,May-16,177.266985,173.292419,179.982045,22,,,,,,,,,,
,Apr-16,176.807999,175.369139,178.174547,21,,,,,,,,,,
,Mar-16,180.657429,176.093105,184.673913,21,,,,,,,,,,
,Feb-16,180.754563,176.682824,184.198824,21,,,,,,,,,,
,Jan-16,184.615901,183.591575,186.633774,20,,,,,,,,,,
,Dec-15,184.333412,182.422202,189.133962,22,,,,,,,,,,
,Nov-15,186.764478,181.727701,189.509405,21,,,,,,,,,,
,Oct-15,178.473198,175.261824,183.423605,22,,,,,,,,,,
,Sep-15,178.670997,175.568789,179.998204,22,,,,,,,,,,
,Aug-15,180.028468,174.241265,184.215749,21,,,,,,,,,,
,Jul-15,182.336764,179.241842,184.741983,23,,,,,,,,,,
,Jun-15,178.803967,175.799719,183.188962,22,,,,,,,,,,
,May-15,179.846018,175.568789,184.554911,20,,,,,,,,,,
,Apr-15,186.02584,178.762372,189.994314,20,,,,,,,,,,
,Mar-15,185.049205,178.571301,189.904329,22,,,,,,,,,,
,Feb-15,176.645971,175.139338,178.364769,20,,,,,,,,,,
,Jan-15,172.587852,166.471809,179.033756,21,,,,,,,,,,
,Dec-14,162.591971,159.91226,165.128078,21,,,,,,,,,,
,Nov-14,160.744864,159.886753,161.770354,20,,,,,,,,,,
,Oct-14,158.204611,156.345629,160.07825,23,,,,,,,,,,
,Sep-14,155.413202,152.446202,159.327664,22,,,,,,,,,,
,Aug-14,150.561935,149.368201,152.145405,21,,,,,,,,,,
,Jul-14,148.081543,146.465517,149.84827,23,,,,,,,,,,
,Jun-14,147.49707,146.787231,148.197812,21,,,,,,,,,,
,May-14,146.004325,143.683796,147.3374,21,,,,,,,,,,
,Apr-14,145.146836,144.52278,146.337226,20,,,,,,,,,,
,Mar-14,145.04342,143.79716,145.996213,21,,,,,,,,,,
,Feb-14,146.788389,145.140085,148.560207,20,,,,,,,,,,
,Jan-14,147.303997,146.476218,148.329387,22,,,,,,,,,,
,Dec-13,146.303548,145.129579,148.110225,20,,,,,,,,,,
,Nov-13,148.586605,147.2941,150.005238,21,,,,,,,,,,
,Oct-13,147.042683,145.224194,148.582228,23,,,,,,,,,,
,Sep-13,150.214218,148.011812,152.841351,21,,,,,,,,,,
,Aug-13,150.633145,149.702808,151.845793,22,,,,,,,,,,
,Jul-13,153.290338,150.919904,156.46765,23,,,,,,,,,,
,Jun-13,152.022601,149.546472,154.122079,20,,,,,,,,,,
,May-13,154.439647,151.983928,155.980705,22,,,,,,,,,,
,Apr-13,153.917142,152.701653,156.406616,21,,,,,,,,,,
,Mar-13,154.656232,153.156608,157.01911,20,,,,,,,,,,
,Feb-13,150.093065,146.937848,153.308863,20,,,,,,,,,,
,Jan-13,150.894585,147.957196,154.0747,22,,,,,,,,,,
,Dec-12,152.824087,150.715682,155.352189,19,,,,,,,,,,
,Nov-12,156.297305,154.288133,157.934457,22,,,,,,,,,,
,Oct-12,154.527901,152.806402,155.68999,23,,,,,,,,,,
,Sep-12,155.973365,153.098129,159.517823,20,,,,,,,,,,
,Aug-12,161.692576,158.973912,163.725602,23,,,,,,,,,,
,Jul-12,163.167211,159.201143,165.838365,22,,,,,,,,,,
