,Month,Average USD/ESP=,Min USD/ESP=,Max USD/ESP=,Nb of working days,,,,,,,,,,
,Jul-19,147.841027,146.608512,148.492637,15,,,,,,,,,,
,Jun-19,147.334881,146.029489,148.758158,20,,,,,,,,,,
,May-19,148.764572,147.964429,149.439555,22,,,,,,,,,,
,Apr-19,148.056838,146.971116,149.587342,20,,,,,,,,,,
,Mar-19,147.21469,146.119259,148.320556,21,,,,,,,,,,
,Feb-19,146.584292,145.049255,147.767318,20,,,,,,,,,,
,Jan-19,145.746145,144.244473,146.71193,22,,,,,,,,,,
,Dec-18,146.157213,145.264536,147.439965,19,,,,,,,,,,
,Nov-18,146.381956,144.847219,147.754196,22,,,,,,,,,,
,Oct-18,144.891645,143.362054,147.010072,23,,,,,,,,,,
,Sep-18,142.719748,141.280462,143.907628,20,,,,,,,,,,
,Aug-18,144.084103,142.088813,146.971116,23,,,,,,,,,,
,Jul-18,142.386247,141.136653,143.584743,22,,,,,,,,,,
,Jun-18,142.48227,140.576208,144.256979,21,,,,,,,,,,
,May-18,140.875022,138.574165,143.957432,22,,,,,,,,,,
,Apr-18,135.542171,134.312238,137.85087,20,,,,,,,,,,
,Mar-18,134.879453,133.955398,136.706926,21,,,,,,,,,,
,Feb-18,134.755347,133.183383,136.225643,20,,,,,,,,,,
,Jan-18,136.411701,133.568275,139.445189,22,,,,,,,,,,
,Dec-17,140.577553,138.735929,141.774029,19,,,,,,,,,,
,Nov-17,141.762416,139.211847,143.907628,22,,,,,,,,,,
,Oct-17,141.538906,140.339069,143.374408,22,,,,,,,,,,
,Sep-17,139.655477,137.965174,141.713653,21,,,,,,,,,,
,Aug-17,140.923756,138.10259,142.088813,23,,,,,,,,,,
,Jul-17,144.562703,141.858641,146.867332,21,,,,,,,,,,
,Jun-17,148.175911,145.786384,149.265273,22,,,,,,,,,,
,May-17,150.496998,147.99075,153.209945,22,,,,,,,,,,
,Apr-17,155.188708,152.228728,157.294385,18,,,,,,,,,,
,Mar-17,155.740029,152.80191,158.251855,23,,,,,,,,,,
,Feb-17,156.346856,153.947076,158.266908,20,,,,,,,,,,
,Jan-17,156.769969,154.705718,160.217622,22,,,,,,,,,,
