DATE,COUNTRY,CPI,CPI_US,ER
1993M01,CANADA,85,65.39619501,1.28
1993M02,CANADA,85.3,65.62549443,1.26
1993M03,CANADA,85.2,65.85479385,1.25
1993M04,CANADA,85.2,66.03823339,1.26
1993M05,CANADA,85.4,66.12995315,1.27
1993M06,CANADA,85.4,66.22167292,1.28
1993M07,CANADA,85.6,66.22167292,1.28
1993M08,CANADA,85.7,66.40511246,1.31
1993M09,CANADA,85.7,66.54269211,1.32
1993M10,CANADA,85.9,66.81785142,1.33
1993M11,CANADA,86.3,66.8637113,1.32
1993M12,CANADA,86.1,66.8637113,1.33
1994M01,CANADA,86.1,67.04715084,1.32
1994M02,CANADA,85.4,67.27645026,1.34
1994M03,CANADA,85.4,67.50574968,1.36
1994M04,CANADA,85.4,67.59746945,1.38
1994M05,CANADA,85.2,67.64332934,1.38
1994M06,CANADA,85.4,67.87262876,1.38
1994M07,CANADA,85.7,68.05606829,1.38
1994M08,CANADA,85.8,68.3312276,1.38
1994M09,CANADA,85.9,68.51466714,1.35
1994M10,CANADA,85.7,68.56052702,1.35
1994M11,CANADA,86.2,68.65224679,1.36
1994M12,CANADA,86.3,68.65224679,1.39
1995M01,CANADA,86.6,68.9274061,1.41
1995M02,CANADA,87,69.2025654,1.4
1995M03,CANADA,87.2,69.43186482,1.41
1995M04,CANADA,87.5,69.66116424,1.38
1995M05,CANADA,87.7,69.7987439,1.36
1995M06,CANADA,87.7,69.93632355,1.38
1995M07,CANADA,87.9,69.93632355,1.36
1995M08,CANADA,87.7,70.11976309,1.35
1995M09,CANADA,87.8,70.25734274,1.35
1995M10,CANADA,87.7,70.48664216,1.35
1995M11,CANADA,88,70.44078228,1.35
1995M12,CANADA,87.8,70.39492239,1.37
1996M01,CANADA,88,70.80766135,1.37
1996M02,CANADA,88.1,71.03696077,1.38
1996M03,CANADA,88.5,71.40383985,1.37
1996M04,CANADA,88.7,71.67899915,1.36
1996M05,CANADA,89,71.81657881,1.37
1996M06,CANADA,89,71.86243869,1.37
1996M07,CANADA,89,72.00001834,1.37
1996M08,CANADA,89,72.137598,1.37
1996M09,CANADA,89.1,72.36689742,1.37
1996M10,CANADA,89.3,72.59619684,1.35
1996M11,CANADA,89.7,72.73377649,1.34
1996M12,CANADA,89.7,72.73377649,1.36
1997M01,CANADA,89.9,72.96307591,1.35
1997M02,CANADA,90.1,73.19237534,1.36
1997M03,CANADA,90.2,73.37581487,1.37
