DATE,COUNTRY,CPI,CPI_US,ER
1969M01,CANADA,19.2,16.32611881,1.07
1969M02,CANADA,19.2,16.41783858,1.07
1969M03,CANADA,19.3,16.55541823,1.08
1969M04,CANADA,19.6,16.647138,1.08
1969M05,CANADA,19.6,16.69299788,1.08
1969M06,CANADA,19.7,16.78471765,1.08
1969M07,CANADA,19.8,16.87643742,1.08
1969M08,CANADA,19.9,16.96815719,1.08
1969M09,CANADA,19.9,17.01401707,1.08
1969M10,CANADA,19.9,17.10573684,1.08
1969M11,CANADA,19.9,17.19745661,1.08
1969M12,CANADA,20.1,17.28917638,1.07
1970M01,CANADA,20.2,17.33503626,1.07
1970M02,CANADA,20.2,17.42675603,1.07
1970M03,CANADA,20.2,17.5184758,1.07
1970M04,CANADA,20.3,17.65605545,1.07
1970M05,CANADA,20.3,17.70191534,1.07
1970M06,CANADA,20.3,17.79363511,1.04
1970M07,CANADA,20.5,17.88535488,1.03
1970M08,CANADA,20.5,17.88535488,1.02
1970M09,CANADA,20.4,17.97707464,1.02
1970M10,CANADA,20.4,18.06879441,1.02
1970M11,CANADA,20.4,18.16051418,1.02
1970M12,CANADA,20.3,18.25223395,1.02
1971M01,CANADA,20.4,18.25223395,1.01
1971M02,CANADA,20.5,18.29809383,1.01
1971M03,CANADA,20.5,18.34395372,1.01
1971M04,CANADA,20.7,18.3898136,1.01
1971M05,CANADA,20.7,18.48153337,1.01
1971M06,CANADA,20.8,18.61911302,1.02
1971M07,CANADA,21,18.66497291,1.02
1971M08,CANADA,21.2,18.71083279,1.01
1971M09,CANADA,21.1,18.71083279,1.01
1971M10,CANADA,21.2,18.75669268,1
1971M11,CANADA,21.2,18.75669268,1
1971M12,CANADA,21.3,18.84841245,1
1972M01,CANADA,21.4,18.84841245,1.01
1972M02,CANADA,21.5,18.94013221,1
1972M03,CANADA,21.6,18.9859921,1
1972M04,CANADA,21.7,19.03185198,1
1972M05,CANADA,21.7,19.07771187,0.99
1972M06,CANADA,21.7,19.12357175,0.98
1972M07,CANADA,22,19.21529152,0.98
1972M08,CANADA,22.2,19.2611514,0.98
1972M09,CANADA,22.3,19.30701129,0.98
1972M10,CANADA,22.3,19.39873106,0.98
1972M11,CANADA,22.3,19.44459094,0.99
1972M12,CANADA,22.4,19.49045083,1
1973M01,CANADA,22.6,19.53631071,1
1973M02,CANADA,22.8,19.67389036,1
1973M03,CANADA,22.8,19.8573299,1
1973M04,CANADA,23.1,19.99490955,1
1973M05,CANADA,23.2,20.13248921,1
1973M06,CANADA,23.4,20.27006886,1
1973M07,CANADA,23.7,20.31592874,1
1973M08,CANADA,24,20.68280782,1
1973M09,CANADA,24.1,20.7286677,1.01
1973M10,CANADA,24.2,20.91210724,1
1973M11,CANADA,24.4,21.04968689,1
1973M12,CANADA,24.5,21.18726654,1
1974M01,CANADA,24.7,21.37070608,0.99
1974M02,CANADA,24.9,21.64586539,0.98
1974M03,CANADA,25.2,21.92102469,0.97
1974M04,CANADA,25.4,22.01274446,0.97
1974M05,CANADA,25.9,22.28790377,0.96
1974M06,CANADA,26.1,22.4713433,0.97
1974M07,CANADA,26.3,22.65478284,0.98
1974M08,CANADA,26.6,22.92994215,0.98
1974M09,CANADA,26.8,23.20510145,0.99
1974M10,CANADA,27.1,23.43440088,0.98
1974M11,CANADA,27.3,23.61784041,0.99
1974M12,CANADA,27.6,23.80127995,0.99
1975M01,CANADA,27.6,23.89299972,0.99
1975M02,CANADA,27.9,24.07643926,1
1975M03,CANADA,28,24.16815902,1
1975M04,CANADA,28.2,24.25987879,1.01
1975M05,CANADA,28.5,24.39745845,1.03
1975M06,CANADA,28.8,24.58089798,1.03
1975M07,CANADA,29.2,24.85605729,1.03
1975M08,CANADA,29.5,24.90191717,1.04
