DATE,AUSTRIA_ER,BELGIUM_ER,BRAZIL_ER,CANADA_ER,CHILE_ER,CHINA_P_R_MAINLAND_ER,COLOMBIA_ER,CZECH_REPUBLIC_ER,DENMARK_ER,FINLAND_ER,FRANCE_ER,GERMANY_ER,GREECE_ER,HUNGARY_ER,ICELAND_ER,INDIA_ER,INDONESIA_ER,IRELAND_ER,ISRAEL_ER,ITALY_ER,JAPAN_ER,KOREA_REPUBLIC_OF_ER,LUXEMBOURG_ER,MEXICO_ER,MOLDOVA_ER,NETHERLANDS_ER,NORWAY_ER,POLAND_ER,PORTUGAL_ER,RUSSIAN_FEDERATION_ER,SOUTH_AFRICA_ER,SPAIN_ER,SWEDEN_ER,SWITZERLAND_ER,TURKEY_ER,UNITED_KINGDOM_ER,UNITED_STATES_ER,AUSTRIA_CPI,BELGIUM_CPI,BRAZIL_CPI,CANADA_CPI,CHILE_CPI,CHINA_P_R_MAINLAND_CPI,COLOMBIA_CPI,CZECH_REPUBLIC_CPI,DENMARK_CPI,FINLAND_CPI,FRANCE_CPI,GERMANY_CPI,GREECE_CPI,HUNGARY_CPI,ICELAND_CPI,INDIA_CPI,INDONESIA_CPI,IRELAND_CPI,ISRAEL_CPI,ITALY_CPI,JAPAN_CPI,KOREA_REPUBLIC_OF_CPI,LUXEMBOURG_CPI,MEXICO_CPI,MOLDOVA_CPI,NETHERLANDS_CPI,NORWAY_CPI,POLAND_CPI,PORTUGAL_CPI,RUSSIAN_FEDERATION_CPI,SOUTH_AFRICA_CPI,SPAIN_CPI,SWEDEN_CPI,SWITZERLAND_CPI,TURKEY_CPI,UNITED_KINGDOM_CPI,UNITED_STATES_CPI
1993M01,11.36,33.26,0.01,1.28,383.93,5.76,816.17,28.93,6.24,5.42,5.48,1.62,215.82,83.83,63.79,26.20,"2,064.78",0.61,2.78,"1,492.63",125.01,791.99,33.26,3.11,###,1.82,6.88,1.59,145.51,0.57,3.07,114.59,7.25,1.48,0.01,0.65,1.00,65.09627,66.33353,5.057917,85,34.81873,41.34689,12.54,41.83125,64.65215,71.76969,71.94,70.7036,46.61612,21.55742,58.15424,19.98289576,14.24352,62.76681,42.7,59.56115,96.1,47.91,64.3955,12.97732,0.218112933,63.27536,64,24.71119,57.347,0.150266,24.55911,56.26231,241.46,87.0056,0.4702718,62.4,65.39619501
1993M02,11.55,33.84,0.01,1.26,387.91,5.77,824.56,29.03,6.31,5.83,5.56,1.64,220.40,85.80,64.87,26.20,"2,066.63",0.68,2.80,"1,548.74",120.96,796.59,33.84,3.10,###,1.85,6.98,1.61,149.65,0.66,3.12,117.50,7.51,1.52,0.01,0.70,1.00,65.47404,66.50412,6.321384,85.3,34.95927,41.5811,12.94,42.45417,64.82605,71.99989,72.19,71.26326,46.75868,21.92833,58.5335,19.98289576,14.52945,62.76681,43.2,59.76886,96.2,48.234,64.58502,13.08335,0.277003425,63.62952,64.2,25.57521,57.775,0.1873817,24.6435,56.28031,242.14,87.5641,0.4889725,62.7,65.62549443
1993M03,11.59,33.93,0.01,1.25,397.22,5.73,832.90,29.04,6.33,5.97,5.59,1.65,223.45,87.12,64.99,31.26,"2,069.13",0.64,2.79,"1,591.36",117.07,793.25,33.93,3.11,###,1.85,7.00,1.66,152.23,0.76,3.18,117.70,7.74,1.52,0.01,0.68,1.00,65.73251,66.61785,8.044595,85.2,35.15759,42.35071,13.18,42.69375,64.96516,72.09855,72.56,71.44981,48.48776,22.09692,58.59671,20.14872681,14.74765,62.76681,43.8,59.97657,96.4,48.843,64.76862,13.15959,0.349578322,64.04269,64.8,26.09363,58.007,0.2250455,24.98108,56.47823,243.17,88.0304,0.512285,63,65.85479385
1993M04,11.23,32.85,0.01,1.26,401.19,5.71,841.59,28.50,6.13,5.60,5.40,1.60,217.42,87.65,63.07,31.31,"2,070.73",0.62,2.74,"1,535.41",112.45,795.84,32.85,3.10,###,1.79,6.77,1.66,148.00,0.89,3.17,115.56,7.46,1.46,0.01,0.65,1.00,65.73251,66.67472,10.27697,85.2,35.65025,43.57439,13.44,42.93333,65.03471,72.36163,72.65,71.63636,49.12928,22.27675,58.78635,20.31456168,14.77023,62.66812,44.4,60.23621,97.1,49.127,64.91076,13.23548,0.400966336,64.2788,64.9,26.69845,58.335,0.267129,25.65625,56.72578,244.19,88.2979,0.5347539,63.4,66.03823339
1993M05,11.30,33.04,0.02,1.27,404.98,5.72,846.45,28.61,6.18,5.48,5.41,1.61,217.90,87.67,63.22,31.33,"2,076.63",0.66,2.73,"1,476.51",110.40,799.99,33.04,3.12,###,1.80,6.79,1.68,151.85,1.08,3.18,121.03,7.33,1.45,0.01,0.65,1.00,65.85181,66.78134,13.12266,85.4,36.17025,44.22674,13.66,43.07708,65.41727,72.4011,72.75,71.72964,49.2395,22.36667,58.91277,20.39747529,14.78527,62.66812,44.5,60.44392,97.2,49.29,65.04697,13.31114,0.443468767,64.21977,64.9,27.21687,58.608,0.3154793,25.74064,56.88227,243.62,88.3497,0.5600068,63.6,66.12995315
1993M06,11.63,33.93,0.02,1.28,403.30,5.74,858.73,29.07,6.32,5.55,5.57,1.65,225.03,90.27,65.20,31.40,"2,083.41",0.68,2.77,"1,499.84",107.34,802.68,33.93,3.12,###,1.85,6.98,1.74,157.34,1.03,3.24,126.91,7.42,1.47,0.01,0.66,1.00,66.01087,66.78845,17.06864,85.4,36.34905,44.16555,13.87,43.50834,65.38249,72.30244,72.71,71.91619,49.78917,22.42286,58.84956,20.72914122,14.8229,62.66812,44.7,60.80742,97.1,49.533,65.08843,13.3858,0.592474273,63.98367,65,27.56248,58.742,0.3782597,25.86724,57.02349,242.82,88.3271,0.570271,63.6,66.22167292
1993M07,12.07,35.44,0.03,1.28,404.79,5.76,867.66,29.83,6.64,5.78,5.83,1.71,234.65,94.59,71.71,31.37,"2,093.00",0.71,2.82,"1,582.91",107.73,806.20,35.44,3.12,###,1.93,7.31,1.80,167.27,0.99,3.35,134.43,7.97,1.51,0.01,0.67,1.00,66.76642,67.22916,22.31213,85.6,36.70665,43.85954,14.04,43.60417,65.27816,72.11828,72.77,72.2893,48.82652,22.5465,59.41846,20.97789353,14.92824,63.26026,44.7,61.01513,97.4,49.493,65.31941,13.45012,0.817022022,64.39685,64.9,27.90809,59.087,0.4629899,26.07823,57.22742,242.35,88.2724,0.5981111,63.4,66.22167292
1993M08,11.94,36.44,0.04,1.31,407.66,5.78,876.48,29.67,6.92,5.83,5.93,1.70,237.73,95.28,71.51,31.37,"2,097.38",0.72,2.86,"1,605.08",103.71,810.21,36.44,3.11,###,1.91,7.36,1.85,173.48,1.07,3.36,138.72,8.06,1.50,0.01,0.67,1.00,66.98513,67.51348,29.66621,85.7,37.49054,44.7995,14.22,43.7,65.38249,72.0262,72.77,72.2893,49.02346,22.93988,59.92414,21.22664201,14.97338,63.26026,45,61.06705,97.6,49.655,65.51485,13.52211,1.006571132,64.81003,64.8,28.51291,59.316,0.5833673,26.20482,57.56984,242.61,88.7076,0.6140839,63.7,66.40511246
1993M09,11.42,34.83,0.05,1.32,408.19,5.79,885.44,28.84,6.64,5.78,5.68,1.62,232.43,93.46,69.36,31.37,"2,105.42",0.70,2.86,"1,567.98",105.28,808.57,34.83,3.11,###,1.82,7.08,1.96,166.32,1.19,3.41,130.64,8.02,1.42,0.01,0.66,1.00,66.50794,67.39265,40.25408,85.7,37.927,45.97549,14.38,44.13125,65.59116,72.17747,73,72.19602,50.26902,23.59178,60.11378,21.4753905,15.011,63.26026,45.5,61.22284,97.7,49.898,65.59185,13.62226,1.402153586,65.22321,65.1,29.20413,59.485,0.7175418,26.28922,57.89536,244.77,88.6531,0.64842,64,66.54269211
1993M10,11.51,35.65,0.07,1.33,412.59,5.79,894.53,28.91,6.63,5.75,5.75,1.64,237.21,97.85,69.94,31.37,"2,107.90",0.70,2.89,"1,625.71",106.92,810.21,35.65,3.11,###,1.84,7.16,2.01,169.36,1.19,3.39,132.23,8.02,1.44,0.01,0.67,1.00,66.4483,67.47083,53.90826,85.9,38.90297,46.30959,14.53,44.51458,65.76505,72.27613,73.13,72.19602,51.22211,23.97392,60.49305,21.72414281,15.1013,63.45764,46.1,61.5344,97.6,50.1,65.78729,13.67797,2.012090397,65.22321,65.1,29.72255,59.803,0.8574623,26.5002,58.11128,245.5,88.7192,0.6931047,64,66.81785142
