Null Hypothesis: PDIFF_ZAMBIA has a unit root,,,,
Exogenous: Constant,,,,
Lag Length: 1 (Fixed),,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,, 0.149321, 0.9680
Test critical values:,1% level,,-3.493129,
,5% level,,-2.888932,
,10% level,,-2.581453,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(PDIFF_ZAMBIA),,,,
Method: Least Squares,,,,
Date: 07/22/19   Time: 01:07,,,,
Sample (adjusted): 2010M03 2018M12,,,,
Included observations: 106 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
PDIFF_ZAMBIA(-1),0.000543,0.003639,0.149321,0.8816
D(PDIFF_ZAMBIA(-1)),0.571488,0.081495,7.012571,0.0000
C,0.002181,0.001360,1.602937,0.1120
,,,,
R-squared,0.327105,    Mean dependent var,,0.005410
Adjusted R-squared,0.314040,    S.D. dependent var,,0.008426
S.E. of regression,0.006979,    Akaike info criterion,,-7.063928
Sum squared resid,0.005017,    Schwarz criterion,,-6.988547
Log likelihood,377.3882,    Hannan-Quinn criter.,,-7.033375
F-statistic,25.03502,    Durbin-Watson stat,,1.798291
Prob(F-statistic),0.000000,,,
,,,,
