Null Hypothesis: RES_GABON has a unit root,,,,
Exogenous: Constant,,,,
Lag Length: 1 (Fixed),,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-2.519344, 0.1138
Test critical values:,1% level,,-3.493129,
,5% level,,-2.888932,
,10% level,,-2.581453,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(RES_GABON),,,,
Method: Least Squares,,,,
Date: 07/22/19   Time: 01:06,,,,
Sample (adjusted): 2010M03 2018M12,,,,
Included observations: 106 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
RES_GABON(-1),-0.086499,0.034334,-2.519344,0.0133
D(RES_GABON(-1)),0.219249,0.093872,2.335627,0.0214
C,0.000720,0.002655,0.271063,0.7869
,,,,
R-squared,0.091995,    Mean dependent var,,0.000842
Adjusted R-squared,0.074364,    S.D. dependent var,,0.028376
S.E. of regression,0.027301,    Akaike info criterion,,-4.335923
Sum squared resid,0.076768,    Schwarz criterion,,-4.260542
Log likelihood,232.8039,    Hannan-Quinn criter.,,-4.305371
F-statistic,5.217744,    Durbin-Watson stat,,1.977894
Prob(F-statistic),0.006943,,,
,,,,
