Null Hypothesis: RES_GHANA has a unit root,,,,
Exogenous: Constant,,,,
Lag Length: 1 (Fixed),,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-1.410775, 0.5744
Test critical values:,1% level,,-3.493129,
,5% level,,-2.888932,
,10% level,,-2.581453,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(RES_GHANA),,,,
Method: Least Squares,,,,
Date: 07/22/19   Time: 01:06,,,,
Sample (adjusted): 2010M03 2018M12,,,,
Included observations: 106 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
RES_GHANA(-1),-0.044263,0.031375,-1.410775,0.1613
D(RES_GHANA(-1)),-0.014932,0.098994,-0.150839,0.8804
C,-0.000821,0.002980,-0.275480,0.7835
,,,,
R-squared,0.020425,    Mean dependent var,,-0.000849
Adjusted R-squared,0.001404,    S.D. dependent var,,0.030689
S.E. of regression,0.030667,    Akaike info criterion,,-4.103366
Sum squared resid,0.096868,    Schwarz criterion,,-4.027986
Log likelihood,220.4784,    Hannan-Quinn criter.,,-4.072814
F-statistic,1.073797,    Durbin-Watson stat,,1.989605
Prob(F-statistic),0.345502,,,
,,,,
