Null Hypothesis: RES_GRENADA has a unit root,,,,
Exogenous: Constant,,,,
Lag Length: 1 (Fixed),,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-1.798745, 0.3805
Test critical values:,1% level,,-3.461327,
,5% level,,-2.875062,
,10% level,,-2.574054,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(RES_GRENADA),,,,
Method: Least Squares,,,,
Date: 07/22/19   Time: 01:06,,,,
Sample (adjusted): 2001M03 2018M09,,,,
Included observations: 211 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
RES_GRENADA(-1),-0.023016,0.012795,-1.798745,0.0735
D(RES_GRENADA(-1)),0.272112,0.066699,4.079677,0.0001
C,-3.54E-17,2.05E-17,-1.727932,0.0855
,,,,
R-squared,0.081836,    Mean dependent var,,4.56E-19
Adjusted R-squared,0.073007,    S.D. dependent var,,8.05E-17
S.E. of regression,7.75E-17,    Sum squared resid,,1.25E-30
F-statistic,9.269523,    Durbin-Watson stat,,1.996311
Prob(F-statistic),0.000139,,,
,,,,
