Null Hypothesis: RES_INDIA has a unit root,,,,
Exogenous: Constant,,,,
Lag Length: 1 (Fixed),,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-1.344816, 0.6101
Test critical values:,1% level,,-3.439384,
,5% level,,-2.865417,
,10% level,,-2.568891,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(RES_INDIA),,,,
Method: Least Squares,,,,
Date: 07/22/19   Time: 01:06,,,,
Sample (adjusted): 1960M03 2018M12,,,,
Included observations: 706 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
RES_INDIA(-1),-0.005591,0.004157,-1.344816,0.1791
D(RES_INDIA(-1)),0.119525,0.037505,3.186913,0.0015
C,-0.000356,0.000989,-0.360403,0.7187
,,,,
R-squared,0.016013,    Mean dependent var,,-0.000405
Adjusted R-squared,0.013214,    S.D. dependent var,,0.026452
S.E. of regression,0.026276,    Akaike info criterion,,-4.436048
Sum squared resid,0.485387,    Schwarz criterion,,-4.416673
Log likelihood,1568.925,    Hannan-Quinn criter.,,-4.428562
F-statistic,5.720170,    Durbin-Watson stat,,2.007918
Prob(F-statistic),0.003434,,,
,,,,
