Null Hypothesis: RES_KOSOVO_REPUBLIC_OF has a unit root,,,,
Exogenous: Constant,,,,
Lag Length: 1 (Fixed),,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-1.943348, 0.3118
Test critical values:,1% level,,-3.470679,
,5% level,,-2.879155,
,10% level,,-2.576241,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(RES_KOSOVO_REPUBLIC_OF),,,,
Method: Least Squares,,,,
Date: 07/22/19   Time: 01:06,,,,
Sample (adjusted): 2005M03 2018M09,,,,
Included observations: 163 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
RES_KOSOVO_REPUBLIC_OF(-1),-0.036686,0.018878,-1.943348,0.0537
D(RES_KOSOVO_REPUBLIC_OF(-1)),0.268789,0.076419,3.517303,0.0006
C,0.000428,0.001781,0.240090,0.8106
,,,,
R-squared,0.083276,    Mean dependent var,,0.000663
Adjusted R-squared,0.071817,    S.D. dependent var,,0.023583
S.E. of regression,0.022720,    Akaike info criterion,,-4.712911
Sum squared resid,0.082592,    Schwarz criterion,,-4.655971
Log likelihood,387.1023,    Hannan-Quinn criter.,,-4.689794
F-statistic,7.267276,    Durbin-Watson stat,,1.982415
Prob(F-statistic),0.000953,,,
,,,,
