Null Hypothesis: RES_LIBERIA has a unit root,,,,
Exogenous: Constant,,,,
Lag Length: 1 (Fixed),,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-1.457721, 0.5525
Test critical values:,1% level,,-3.472813,
,5% level,,-2.880088,
,10% level,,-2.576739,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(RES_LIBERIA),,,,
Method: Least Squares,,,,
Date: 07/22/19   Time: 01:06,,,,
Sample (adjusted): 2006M02 2018M12,,,,
Included observations: 155 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
RES_LIBERIA(-1),-0.035148,0.024112,-1.457721,0.1470
D(RES_LIBERIA(-1)),-0.018145,0.081468,-0.222725,0.8240
C,0.000235,0.001512,0.155682,0.8765
,,,,
R-squared,0.015587,    Mean dependent var,,0.000261
Adjusted R-squared,0.002634,    S.D. dependent var,,0.018830
S.E. of regression,0.018805,    Akaike info criterion,,-5.090190
Sum squared resid,0.053753,    Schwarz criterion,,-5.031285
Log likelihood,397.4897,    Hannan-Quinn criter.,,-5.066264
F-statistic,1.203391,    Durbin-Watson stat,,2.005706
Prob(F-statistic),0.303018,,,
,,,,
