Null Hypothesis: RES_MONTENEGRO has a unit root,,,,
Exogenous: Constant,,,,
Lag Length: 1 (Fixed),,,,
,,,,
,,,t-Statistic,  Prob.*
,,,,
Augmented Dickey-Fuller test statistic,,,-1.537245, 0.5110
Test critical values:,1% level,,-3.493129,
,5% level,,-2.888932,
,10% level,,-2.581453,
,,,,
*MacKinnon (1996) one-sided p-values.,,,,
,,,,
,,,,
Augmented Dickey-Fuller Test Equation,,,,
Dependent Variable: D(RES_MONTENEGRO),,,,
Method: Least Squares,,,,
Date: 07/22/19   Time: 01:06,,,,
Sample (adjusted): 2010M03 2018M12,,,,
Included observations: 106 after adjustments,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
RES_MONTENEGRO(-1),-0.034706,0.022577,-1.537245,0.1273
D(RES_MONTENEGRO(-1)),0.238970,0.093699,2.550392,0.0122
C,0.001250,0.002031,0.615606,0.5395
,,,,
R-squared,0.073840,    Mean dependent var,,0.001741
Adjusted R-squared,0.055857,    S.D. dependent var,,0.021419
S.E. of regression,0.020812,    Akaike info criterion,,-4.878660
Sum squared resid,0.044614,    Schwarz criterion,,-4.803280
Log likelihood,261.5690,    Hannan-Quinn criter.,,-4.848108
F-statistic,4.105956,    Durbin-Watson stat,,1.968590
Prob(F-statistic),0.019245,,,
,,,,
